timesteps_this_iter,dev_correct,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,train/token_acc_num,train/seq_acc_num,train/token_acc_var,train/seq_acc_var,train/diff_var_len,train/loss_expl,train/loss_var_len,train/loss_total,train/timesteps_this_iter,after/lr,after/weight/encoder_embed,after/weight/encoder,after/weight/encoder_bias,after/weight/equation,after/weight/equation_embed,after/weight/equation_bias,after/weight/other,after/weight/other_bias,after/weight/explanation_embed,after/weight/explanation,after/weight/explanation_bias
179,nan,False,179,,1,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_06-57-34,1643439454,404.1383514404297,404.1383514404297,3645350,cracker,147.46.19.217,404.1383514404297,179,1,b93d0_00001,0.058368128772798004,0.0,0.06736247828740297,0.0,4.3933892010310505,12.243172848024848,2.152145221912661,14.395318073933351,179,0.00017600000000000002,0.023560406019290287,0.18821023873546544,0.11464872282506763,3.366732010928293,0.01597685118516286,0.0,0.01594339550605842,2.448868323361759e-07,0.023560406019290287,0.29515889286994934,0.024909689361569082
179,nan,False,358,,2,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-04-18,1643439858,403.9768371582031,808.1151885986328,3645350,cracker,147.46.19.217,808.1151885986328,358,2,b93d0_00001,0.10755450319628752,0.0,0.12529763224683077,0.0,-0.24383147119143822,9.489503404947632,0.9626587609339027,10.452162153894008,179,0.00035200000000000005,0.023560406019290287,0.18807325937292155,0.11465110932363606,3.366732010928293,0.01597685118516286,0.0,0.015946556148784503,2.4984607145077984e-07,0.023560406019290287,0.29515885934233665,0.02490969208677522
179,nan,False,537,,3,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-11-01,1643440261,403.5941655635834,1211.7093541622162,3645350,cracker,147.46.19.217,1211.7093541622162,537,3,b93d0_00001,0.2995255012577259,0.0015777484599992456,0.35926204941425366,0.0015754547452385686,-0.009776536312849162,6.755933942741522,0.35045114392674837,7.106385108478908,179,0.000528,0.023560406019290287,0.18804091437190187,0.1146481299799511,3.366732010928293,0.01597685118516286,0.0,0.015956835821270943,2.563713386345106e-07,0.023560406019290287,0.2952288677915931,0.024909691886004264
179,nan,False,716,,4,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-17-46,1643440666,405.0716998577118,1616.781054019928,3645350,cracker,147.46.19.217,1616.781054019928,716,4,b93d0_00001,0.4218562901171187,0.08080649499187222,0.46334939925778856,0.008997446551874278,-0.015363128491620111,5.27896477390268,0.21991399450841562,5.498878758712854,179,0.0007040000000000001,0.023560406019290287,0.18806381121862167,0.11466300099365039,3.366732010928293,0.01597685118516286,0.0,0.01596984639763832,2.6047828376769236e-07,0.023560406019290287,0.2953789187595248,0.02490970047188057
179,nan,False,895,,5,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-24-31,1643441071,404.5180218219757,2021.2990758419037,3645350,cracker,147.46.19.217,2021.2990758419037,895,5,b93d0_00001,0.48569221576698535,0.12749078713723389,0.5262903935245689,0.02374644739648714,-0.008729050279329608,4.443121309386951,0.1741710186171132,4.617292333581594,179,0.00088,0.023560406019290287,0.18815450854599475,0.1147516674435844,3.366732010928293,0.01597685118516286,0.0,0.015980834141373634,2.6307328328454916e-07,0.023560406019290287,0.29555768985301256,0.024909717708491524
179,nan,False,1074,,6,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-31-15,1643441475,404.46560978889465,2425.7646856307983,3645350,cracker,147.46.19.217,2425.7646856307983,1074,6,b93d0_00001,0.5373899414967936,0.129825917432367,0.5755041731082732,0.03391965791638748,-0.004539106145251397,3.8136179420535123,0.1504480650638069,3.9640660272630233,179,0.001056,0.023560406019290287,0.1883382359117854,0.11489050697272789,3.366732010928293,0.01597685118516286,0.0,0.015992474609187672,2.6599608255699944e-07,0.023560406019290287,0.2957259090617299,0.024909733763536224
179,nan,False,1253,,7,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-37-57,1643441877,401.3062982559204,2827.0709838867188,3645350,cracker,147.46.19.217,2827.0709838867188,1253,7,b93d0_00001,0.5764484785026756,0.1500491426465121,0.6040194024566529,0.044467085510740634,-0.00034916201117318437,3.4114836314537005,0.151686906439965,3.563170539600223,179,0.001232,0.023560406019290287,0.18853682308074307,0.11504556175716162,3.366732010928293,0.01597685118516286,0.0,0.01599936027612005,2.6732184973557847e-07,0.023560406019290287,0.2958790110424161,0.024909752589280743
179,nan,False,1432,,8,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-44-41,1643442281,403.80433893203735,3230.875322818756,3645350,cracker,147.46.19.217,3230.875322818756,1432,8,b93d0_00001,0.602360784388682,0.14690573586628553,0.6368027769765456,0.05195838128285836,-0.002793296089385475,3.081767308645408,0.11894696018549317,3.200714261838178,179,0.0014080000000000002,0.023560406019290287,0.18877228543016256,0.11522886416536325,3.366732010928293,0.01597685118516286,0.0,0.016005918117506162,2.6819101809191383e-07,0.023560406019290287,0.2960308324545622,0.024909786729078103
179,nan,False,1611,,9,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-51-24,1643442684,403.27243280410767,3634.1477556228638,3645350,cracker,147.46.19.217,3634.1477556228638,1611,9,b93d0_00001,0.6249531781424256,0.14955271842265258,0.6622117747298647,0.06085751083211487,-0.0034916201117318434,2.8455412734154217,0.11956151042071135,2.965102784460483,179,0.0015840000000000001,0.023560406019290287,0.18905421279955145,0.11543591294399876,3.366732010928293,0.01597685118516286,0.0,0.016012035310268402,2.701364110180293e-07,0.023560406019290287,0.296153892762959,0.02490984251687678
179,nan,False,1790,,10,3639726cd5884d7dbde4aa40ac656dda,2022-01-29_07-58-04,1643443084,400.25060963630676,4034.3983652591705,3645350,cracker,147.46.19.217,4034.3983652591705,1790,10,b93d0_00001,0.6417366804928095,0.1482292764322413,0.6777835501778823,0.060498385424136915,-0.0017458100558659217,2.6357453122485284,0.11755005682313908,2.753295364326605,179,0.00176,0.023560406019290287,0.1893961191323458,0.11566951127340036,3.366732010928293,0.01597685118516286,0.0,0.016009838453360965,2.7282536458577464e-07,0.023560406019290287,0.296270945109427,0.024909927719666786
