timesteps_this_iter,dev_correct,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,train/token_acc_num,train/seq_acc_num,train/token_acc_var,train/seq_acc_var,train/diff_var_len,train/loss_expl,train/loss_var_len,train/loss_total,train/timesteps_this_iter,after/lr,after/weight/encoder_embed,after/weight/encoder,after/weight/encoder_bias,after/weight/equation,after/weight/equation_embed,after/weight/equation_bias,after/weight/other,after/weight/other_bias,after/weight/explanation_embed,after/weight/explanation,after/weight/explanation_bias
179,nan,False,179,,1,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-08-44,1643868524,401.5959982872009,401.5959982872009,1774290,cracker,147.46.19.217,401.5959982872009,179,1,b8ca4_00001,0.05797066411464186,0.0,0.06853030824051663,0.0,4.422718809969599,12.214751675142256,2.154079687661965,14.368831352148643,179,0.00017600000000000002,0.023560406019290287,0.1882056608576985,0.11464915774645536,3.366732010928293,0.01597685118516286,0.0,0.01594339364341327,2.4575821758584683e-07,0.023560406019290287,0.29515882208943367,0.024909690909889075
179,nan,False,358,,2,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-15-25,1643868925,401.22226428985596,802.8182625770569,1774290,cracker,147.46.19.217,802.8182625770569,358,2,b8ca4_00001,0.1063353421330144,0.0,0.12083327029473108,0.0,-0.2399906890685332,9.390717338583324,0.9542165505153507,10.344933898755292,179,0.00035200000000000005,0.023560406019290287,0.1880623683260352,0.1146455412954952,3.366732010928293,0.01597685118516286,0.0,0.015946605375834873,2.5074155831004775e-07,0.023560406019290287,0.2951577650383115,0.024909693835866165
179,nan,False,537,,3,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-22-06,1643869326,400.66324734687805,1203.481509923935,1774290,cracker,147.46.19.217,1203.481509923935,537,3,b8ca4_00001,0.26716626821342393,0.0009722720037379927,0.32010668108828905,0.0,-0.007332402234636872,6.948467723484145,0.3328650354007103,7.281332743234475,179,0.000528,0.023560406019290287,0.1880181607443328,0.11462591740796818,3.366732010928293,0.01597685118516286,0.0,0.01595691405236721,2.5724302434225267e-07,0.023560406019290287,0.2952156085520983,0.024909695159900973
179,nan,False,716,,4,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-28-46,1643869726,400.6227424144745,1604.1042523384094,1774290,cracker,147.46.19.217,1604.1042523384094,716,4,b8ca4_00001,0.403622616680242,0.03995192230675857,0.4586938939993661,0.006063912285867465,-0.018505586592178772,5.397525783357674,0.22069753410929407,5.618223310182881,179,0.0007040000000000001,0.023560406019290287,0.18801963757358345,0.11464638351485804,3.366732010928293,0.01597685118516286,0.0,0.015969606648598398,2.609407212211019e-07,0.023560406019290287,0.2953693997114897,0.02490970325715125
179,nan,False,895,,5,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-35-28,1643870128,401.24175214767456,2005.346004486084,1774290,cracker,147.46.19.217,2005.346004486084,895,5,b8ca4_00001,0.47601427905962385,0.11260508643859327,0.5237832299553996,0.01721292644341078,-0.01047486033519553,4.502775354758321,0.1753975130908982,4.678172878712915,179,0.00088,0.023560406019290287,0.18808312545366146,0.11473968299834748,3.366732010928293,0.01597685118516286,0.0,0.01597910826759679,2.632318845436592e-07,0.023560406019290287,0.2955541592091322,0.02490972126431264
179,nan,False,1074,,6,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-42-09,1643870529,401.43593549728394,2406.781939983368,1774290,cracker,147.46.19.217,2406.781939983368,1074,6,b8ca4_00001,0.5337763414596681,0.1324234721038107,0.5687421030314616,0.032622769536889876,-0.009427374301675978,3.8480813436668013,0.15146624284416604,3.9995475827648654,179,0.001056,0.023560406019290287,0.18817563013849306,0.11488493003835094,3.366732010928293,0.01597685118516286,0.0,0.015991750306316783,2.6594112309144944e-07,0.023560406019290287,0.2957226103171706,0.02490973619099653
179,nan,False,1253,,7,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-48-50,1643870930,401.28640389442444,2808.0683438777924,1774290,cracker,147.46.19.217,2808.0683438777924,1253,7,b8ca4_00001,0.5726512068652573,0.14393997331830316,0.601183345875443,0.038956851105296376,-0.008379888268156424,3.4338614807448575,0.15426809419799783,3.588129585681681,179,0.001232,0.023560406019290287,0.18838840199305731,0.1150262283517368,3.366732010928293,0.01597685118516286,0.0,0.01599701520587717,2.6569622540202023e-07,0.023560406019290287,0.2958726370707154,0.024909751324059926
179,nan,False,1432,,8,12eb173214e342ccb472051df7d5f6ce,2022-02-03_06-55-28,1643871328,397.9045240879059,3205.9728679656982,1774290,cracker,147.46.19.217,3205.9728679656982,1432,8,b8ca4_00001,0.5997900283753573,0.13750014882271255,0.630855541834704,0.04731377323620391,-0.007681564245810056,3.115425264369176,0.12345023981852238,3.2388755063104897,179,0.0014080000000000002,0.023560406019290287,0.18857255965179087,0.11523288603270089,3.366732010928293,0.01597685118516286,0.0,0.016000394310270036,2.6596738475096314e-07,0.023560406019290287,0.29603029508143663,0.02490978840412102
179,nan,False,1611,,9,12eb173214e342ccb472051df7d5f6ce,2022-02-03_07-02-06,1643871726,397.3382205963135,3603.3110885620117,1774290,cracker,147.46.19.217,3603.3110885620117,1611,9,b8ca4_00001,0.6268976202127018,0.15770364935749548,0.6585270978586921,0.06037418239294361,-0.004539106145251397,2.859714699857062,0.12031493440020684,2.980029644246874,179,0.0015840000000000001,0.023560406019290287,0.18879968969553124,0.11548394412873982,3.366732010928293,0.01597685118516286,0.0,0.0160067155957222,2.709521790425892e-07,0.023560406019290287,0.2961888946592808,0.024909846125865442
179,nan,False,1790,,10,12eb173214e342ccb472051df7d5f6ce,2022-02-03_07-08-47,1643872127,401.83548283576965,4005.1465713977814,1774290,cracker,147.46.19.217,4005.1465713977814,1790,10,b8ca4_00001,0.6427706623033761,0.15740085101234277,0.6759890017690426,0.06631536704791877,-0.002094972067039106,2.6563796444312153,0.11579796368016877,2.772177602325738,179,0.00176,0.023560406019290287,0.18907756048674676,0.11576191734821713,3.366732010928293,0.01597685118516286,0.0,0.01601121042455946,2.7362789621422833e-07,0.023560406019290287,0.2962819552049041,0.024909930371355433
